"sites" "variable" "age" "mean" "lenghth" "se"
"336" "SHABLA" "Fagus" 750 147.624113475177 1 0
"337" "SUMINKO" "Fagus" 750 1181.47578853341 20 73.9406064617105
"338" "TOSACJQS" "Fagus" 750 0 8 0
"339" "TSOULACC" "Fagus" 750 0 6 0
"340" "VOULK" "Fagus" 750 38.856422285699 6 11.2747936471137
"341" "ABBO" "Fraxinus" 750 1.15652355377623 4 1.15652355377623
"342" "BACHALP" "Fraxinus" 750 0 5 0
"343" "HOLT" "Fraxinus" 750 5.50594737591913 4 2.73984765081002
"344" "KLOT" "Fraxinus" 750 12.2320535297083 4 5.27336014997728
"345" "MNIVA" "Fraxinus" 750 21.1423041017235 4 17.5851192199716
"346" "PRASILSKE" "Fraxinus" 750 4.09082424404091 9 2.44907203178298
"347" "RIBNO" "Fraxinus" 750 8.20214109105898 3 4.45437618513666
"348" "ROUGE" "Fraxinus" 750 68.2583438916426 11 11.1971448450364
"349" "SAEGIST" "Fraxinus" 750 4.5390407796569 8 2.21903423044457
"350" "SHABLA" "Fraxinus" 750 135.322104018913 1 0
"351" "SUMINKO" "Fraxinus" 750 62.9970785483765 20 13.2052781620448
"352" "TOSACJQS" "Fraxinus" 750 0 8 0
"353" "TSOULACC" "Fraxinus" 750 0 6 0
"354" "VOULK" "Fraxinus" 750 107.24435778594 6 23.7091998275701
"355" "ABBO" "Juniperus" 750 60.3475170426218 4 12.2131285259662
"356" "BACHALP" "Juniperus" 750 46.7645112223067 5 27.0684022545594
"357" "HOLT" "Juniperus" 750 71.6580951714173 4 13.7799033192369
"358" "KLOT" "Juniperus" 750 75.3724329910694 4 19.2568386079033
"359" "MNIVA" "Juniperus" 750 0 4 0
"360" "PRASILSKE" "Juniperus" 750 63.5087302552159 9 10.9511422946885
"361" "RIBNO" "Juniperus" 750 29.6589368216858 3 6.42467220858876
"362" "ROUGE" "Juniperus" 750 25.7827671917614 11 9.32370920689831
"363" "SAEGIST" "Juniperus" 750 71.7614956645664 8 10.8138533194463
"364" "SHABLA" "Juniperus" 750 0 1 0
"365" "SUMINKO" "Juniperus" 750 11.3392109078756 20 4.81508157135732
"366" "TOSACJQS" "Juniperus" 750 17.0222575 8 2.62152384867749
"367" "TSOULACC" "Juniperus" 750 44.3602383333333 6 4.32808162385709
"368" "VOULK" "Juniperus" 750 9.95623923923305 6 6.31928659232488
"369" "ABBO" "Picea" 750 868.159172165367 4 128.969096575487
"370" "AKUV" "Picea" 750 28.6000286000286 1 0
"371" "BACHALP" "Picea" 750 1003.54559452004 5 152.243143372267
"372" "BRUN" "Picea" 750 10.7469102632993 1 0
"373" "HOLT" "Picea" 750 537.57822042358 4 89.129581403656
"374" "KLOT" "Picea" 750 1083.57746378198 4 352.168836003692
"375" "MNIVA" "Picea" 750 1286.24635666154 4 402.800253134552
"376" "PRASILSKE" "Picea" 750 1078.77967792948 9 96.9786340800395
"377" "RIBNO" "Picea" 750 310.22588131724 3 45.7439584129827
"378" "ROUGE" "Picea" 750 1691.75643500591 11 290.142373724618
"379" "SAEGIST" "Picea" 750 579.286020051158 8 66.5083734236222
"380" "SHABLA" "Picea" 750 0 1 0
"381" "SUMINKO" "Picea" 750 59.2543470564868 20 12.05149434243
"382" "SUOVAL" "Picea" 750 7.72925949829377 1 0
"383" "TOSACJQS" "Picea" 750 6.498710125 8 1.30575286760484
"384" "TSOULACC" "Picea" 750 12.464732 6 1.65959176957869
"385" "VOULK" "Picea" 750 0 6 0
"386" "ABBO" "Pinus" 750 2618.07226985872 4 177.371138471097
"387" "AKUV" "Pinus" 750 1295.5812955813 1 0
"388" "BACHALP" "Pinus" 750 173.115922802053 5 46.0525530751733
"389" "BRUN" "Pinus" 750 217.624932831811 1 0
"390" "HOLT" "Pinus" 750 3647.60993899843 4 193.045198719332
